Questions,Answer,1 Distractor,2 Distractor,3 Distractor,4 Distractor
৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে,২৫০ টাকা,৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে? ৫৫০ টাকা থেকে ২২০ টাকা খরচ করার পর অবশিষ্ট অর্থ দিয়ে তারা অন্য কিছু কিনতে পারবে।,৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে? ৫৫০ টাকা থেকে ২২০ টাকা খরচ করার পর অবশিষ্ট অর্থ দিয়ে তারা অন্য কিছু কিনতে পারবে। এই টাকায় তারা আরও ৭টি খাতা কিনতে পারত।,৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে? ৫৫০ টাকা থেকে ২২০ টাকা খরচ করার পর অবশিষ্ট অর্থ দিয়ে তারা অন্য কিছু কিনতে পারবে। এই টাকায় তারা আরও ৭টি খাতা কিনতে পারত। তাদের মাসিক হাত খরচের পরিমাণ মোট ১০০০ টাকা।,৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে? ৫৫০ টাকা থেকে ২২০ টাকা খরচ করার পর অবশিষ্ট অর্থ দিয়ে তারা অন্য কিছু কিনতে পারবে। এই টাকায় তারা আরও ৭টি খাতা কিনতে পারত। তাদের মাসিক হাত খরচের পরিমাণ মোট ১০০০ টাকা। বই কেনার জন্য তাদের কাছে ১২টি দোকান খোলা ছিল।
দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত,৭.৫ কিমি,"দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত? তাদের দুজনের মধ্যে ১০ কিমি দূরত্বে আরও একজন বন্ধু থাকে, যার বাড়ি যেতে তাদের কখনও ৪টি বাস পরিবর্তন করতে হয়।","দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত? তাদের দুজনের মধ্যে ১০ কিমি দূরত্বে আরও একজন বন্ধু থাকে, যার বাড়ি যেতে তাদের কখনও ৪টি বাস পরিবর্তন করতে হয়। প্রথম বন্ধুর সাইকেলের গতি প্রতিদিন ১২ কিমি/ঘণ্টা।","দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত? তাদের দুজনের মধ্যে ১০ কিমি দূরত্বে আরও একজন বন্ধু থাকে, যার বাড়ি যেতে তাদের কখনও ৪টি বাস পরিবর্তন করতে হয়। প্রথম বন্ধুর সাইকেলের গতি প্রতিদিন ১২ কিমি/ঘণ্টা। দ্বিতীয় বন্ধুর স্কুলের পোশাকের দাম ৮০০ টাকা।","দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত? তাদের দুজনের মধ্যে ১০ কিমি দূরত্বে আরও একজন বন্ধু থাকে, যার বাড়ি যেতে তাদের কখনও ৪টি বাস পরিবর্তন করতে হয়। প্রথম বন্ধুর সাইকেলের গতি প্রতিদিন ১২ কিমি/ঘণ্টা। দ্বিতীয় বন্ধুর স্কুলের পোশাকের দাম ৮০০ টাকা। তাদের স্কুলের দৈনিক ছুটি হয় বিকাল ৪টায়।"
৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়,২/৫,"৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়? ৪০% একটি গুরুত্বপূর্ণ অংশ, যেমন একটি ক্লাসে মোট ৫০ জন ছাত্রের মধ্যে ২০ জন অনুপস্থিত।","৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়? ৪০% একটি গুরুত্বপূর্ণ অংশ, যেমন একটি ক্লাসে মোট ৫০ জন ছাত্রের মধ্যে ২০ জন অনুপস্থিত। এই ৪০% নম্বর প্রাপ্তি পরীক্ষায় পাশ করার জন্য ন্যূনতম ৮০ নম্বরের সমান।","৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়? ৪০% একটি গুরুত্বপূর্ণ অংশ, যেমন একটি ক্লাসে মোট ৫০ জন ছাত্রের মধ্যে ২০ জন অনুপস্থিত। এই ৪০% নম্বর প্রাপ্তি পরীক্ষায় পাশ করার জন্য ন্যূনতম ৮০ নম্বরের সমান। পরীক্ষাটিতে মোট ১০০টি প্রশ্ন ছিল।","৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়? ৪০% একটি গুরুত্বপূর্ণ অংশ, যেমন একটি ক্লাসে মোট ৫০ জন ছাত্রের মধ্যে ২০ জন অনুপস্থিত। এই ৪০% নম্বর প্রাপ্তি পরীক্ষায় পাশ করার জন্য ন্যূনতম ৮০ নম্বরের সমান। পরীক্ষাটিতে মোট ১০০টি প্রশ্ন ছিল। প্রতিটি প্রশ্নে ৫ নম্বর করে ছিল।"
১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়,1.5,"১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়? যদি কোনো কিছুর মান ১৫০% বৃদ্ধি পায়, তাহলে তা শুরু মূল্যের ২.৫ গুণ হয়ে যায়।","১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়? যদি কোনো কিছুর মান ১৫০% বৃদ্ধি পায়, তাহলে তা শুরু মূল্যের ২.৫ গুণ হয়ে যায়। গত ৩ বছরে তাদের বিক্রি ১৫% বৃদ্ধি পেয়েছে।","১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়? যদি কোনো কিছুর মান ১৫০% বৃদ্ধি পায়, তাহলে তা শুরু মূল্যের ২.৫ গুণ হয়ে যায়। গত ৩ বছরে তাদের বিক্রি ১৫% বৃদ্ধি পেয়েছে। কোম্পানিটির বর্তমানে বার্ষিক আয় ২০ লক্ষ টাকা।","১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়? যদি কোনো কিছুর মান ১৫০% বৃদ্ধি পায়, তাহলে তা শুরু মূল্যের ২.৫ গুণ হয়ে যায়। গত ৩ বছরে তাদের বিক্রি ১৫% বৃদ্ধি পেয়েছে। কোম্পানিটির বর্তমানে বার্ষিক আয় ২০ লক্ষ টাকা। গত বছর তাদের মুনাফা ছিল ৫ লক্ষ টাকা।"
২৫ টাকা ১২৫ টাকার শতকরা কত,20%,২৫ টাকা ১২৫ টাকার শতকরা কত? ২৫ টাকার মতো ছোট একটি অংশ ১২৫ টাকার মোট মূল্যের ২০% ছাড়ের সমান হতে পারে।,২৫ টাকা ১২৫ টাকার শতকরা কত? ২৫ টাকার মতো ছোট একটি অংশ ১২৫ টাকার মোট মূল্যের ২০% ছাড়ের সমান হতে পারে। দোকানে আরও ৫০০ টাকার জিনিসপত্র ছিল।,২৫ টাকা ১২৫ টাকার শতকরা কত? ২৫ টাকার মতো ছোট একটি অংশ ১২৫ টাকার মোট মূল্যের ২০% ছাড়ের সমান হতে পারে। দোকানে আরও ৫০০ টাকার জিনিসপত্র ছিল। তারা মোট ১০টি পণ্য কিনেছিল।,২৫ টাকা ১২৫ টাকার শতকরা কত? ২৫ টাকার মতো ছোট একটি অংশ ১২৫ টাকার মোট মূল্যের ২০% ছাড়ের সমান হতে পারে। দোকানে আরও ৫০০ টাকার জিনিসপত্র ছিল। তারা মোট ১০টি পণ্য কিনেছিল। প্রতিটি পণ্যের গড় দাম ছিল ১২ টাকা।
একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত,২০ টাকা,"একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত? কলমটি ২০% লাভে ২৪ টাকায় বিক্রয় করার পর, দোকানে আরও ৫০টি কলম অবশিষ্ট ছিল।","একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত? কলমটি ২০% লাভে ২৪ টাকায় বিক্রয় করার পর, দোকানে আরও ৫০টি কলম অবশিষ্ট ছিল। কলমটির উৎপাদন খরচ ছিল প্রতিটিতে ১৫ টাকা।","একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত? কলমটি ২০% লাভে ২৪ টাকায় বিক্রয় করার পর, দোকানে আরও ৫০টি কলম অবশিষ্ট ছিল। কলমটির উৎপাদন খরচ ছিল প্রতিটিতে ১৫ টাকা। দোকানটি প্রতিদিন গড়ে ১৫০০ টাকার কলম বিক্রি করে।","একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত? কলমটি ২০% লাভে ২৪ টাকায় বিক্রয় করার পর, দোকানে আরও ৫০টি কলম অবশিষ্ট ছিল। কলমটির উৎপাদন খরচ ছিল প্রতিটিতে ১৫ টাকা। দোকানটি প্রতিদিন গড়ে ১৫০০ টাকার কলম বিক্রি করে। দোকানের প্রতিদিনের আয় প্রায় ৩০০ টাকা।"
একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত,২০০ টাকা,"একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত? বইটির দাম ১৭০ টাকা হলেও, এর লেখক আরও ৩০০টি বই লিখেছিলেন।","একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত? বইটির দাম ১৭০ টাকা হলেও, এর লেখক আরও ৩০০টি বই লিখেছিলেন। বইটি প্রকাশ করতে মোট ৫০০০ টাকা খরচ হয়েছে।","একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত? বইটির দাম ১৭০ টাকা হলেও, এর লেখক আরও ৩০০টি বই লিখেছিলেন। বইটি প্রকাশ করতে মোট ৫০০০ টাকা খরচ হয়েছে। বইটি মোট ২৫০ পৃষ্ঠার ছিল।","একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত? বইটির দাম ১৭০ টাকা হলেও, এর লেখক আরও ৩০০টি বই লিখেছিলেন। বইটি প্রকাশ করতে মোট ৫০০০ টাকা খরচ হয়েছে। বইটি মোট ২৫০ পৃষ্ঠার ছিল। এর মলাটের উপর ১০টি ভিন্ন রঙের নকশা ছিল।"
৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে,৭ দিন,৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে? কাজটি সম্পন্ন করার জন্য তাদের কাছে মোট ৫০০টি উপকরণ ছিল।,৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে? কাজটি সম্পন্ন করার জন্য তাদের কাছে মোট ৫০০টি উপকরণ ছিল। প্রতিদিন ৬ ঘণ্টা করে কাজ করলে তা আরও দ্রুত শেষ হবে।,৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে? কাজটি সম্পন্ন করার জন্য তাদের কাছে মোট ৫০০টি উপকরণ ছিল। প্রতিদিন ৬ ঘণ্টা করে কাজ করলে তা আরও দ্রুত শেষ হবে। প্রতিটি উপকরণের দাম ছিল ১৫ টাকা।,৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে? কাজটি সম্পন্ন করার জন্য তাদের কাছে মোট ৫০০টি উপকরণ ছিল। প্রতিদিন ৬ ঘণ্টা করে কাজ করলে তা আরও দ্রুত শেষ হবে। প্রতিটি উপকরণের দাম ছিল ১৫ টাকা। এই কাজের জন্য মোট ১০ জন পরিদর্শক নিযুক্ত ছিলেন।
একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে,৬ দিন,"একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে? তারা প্রতিদিন ৮ ঘণ্টা করে কাজ করে, এবং কাজের জন্য মোট ১২০টি উপকরণ প্রয়োজন।","একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে? তারা প্রতিদিন ৮ ঘণ্টা করে কাজ করে, এবং কাজের জন্য মোট ১২০টি উপকরণ প্রয়োজন। কাজটিতে মোট ২৫০০ কিলোজুল শক্তি ব্যয় হয়।","একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে? তারা প্রতিদিন ৮ ঘণ্টা করে কাজ করে, এবং কাজের জন্য মোট ১২০টি উপকরণ প্রয়োজন। কাজটিতে মোট ২৫০০ কিলোজুল শক্তি ব্যয় হয়। তাদের মোট মাসিক আয় ২০০০০ টাকা।","একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে? তারা প্রতিদিন ৮ ঘণ্টা করে কাজ করে, এবং কাজের জন্য মোট ১২০টি উপকরণ প্রয়োজন। কাজটিতে মোট ২৫০০ কিলোজুল শক্তি ব্যয় হয়। তাদের মোট মাসিক আয় ২০০০০ টাকা। তারা সপ্তাহে ৫ দিন কাজ করে।"
১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত,১২ টাকা,১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত? দোকানে আরও ১০০টি বলপেন ছিল এবং প্রতিটি বলপেনের ওজন প্রায় ১০ গ্রাম।,১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত? দোকানে আরও ১০০টি বলপেন ছিল এবং প্রতিটি বলপেনের ওজন প্রায় ১০ গ্রাম। মোট বিক্রিত বলপেনের সংখ্যা ছিল ২০০টি।,১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত? দোকানে আরও ১০০টি বলপেন ছিল এবং প্রতিটি বলপেনের ওজন প্রায় ১০ গ্রাম। মোট বিক্রিত বলপেনের সংখ্যা ছিল ২০০টি। প্রতিটি বলপেন ১.৫ ইঞ্চি লম্বা ছিল।,১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত? দোকানে আরও ১০০টি বলপেন ছিল এবং প্রতিটি বলপেনের ওজন প্রায় ১০ গ্রাম। মোট বিক্রিত বলপেনের সংখ্যা ছিল ২০০টি। প্রতিটি বলপেন ১.৫ ইঞ্চি লম্বা ছিল। দোকানটিতে আরও ৫ ধরনের বলপেন পাওয়া যায়।
