Question,Answer,Explanation,Steps,Digit,Grade
অঙ্কপাতন কী,কোনো সংখ্যা অঙ্কের সাহায্যে লেখাকে অঙ্কপাতন বলে,এটি সংখ্যা প্রকাশের একটি পদ্ধতি,১,১,six
দেশীয় সংখ্যাপঠন রীতিতে সংখ্যার ডানদিকের প্রথম তিনটি স্থানকে কী কী বলা হয়,একক দশক ও শতক,দেশীয় রীতি অনুযায়ী সংখ্যার ডানদিক থেকে স্থানগুলো যথাক্রমে একক দশক শতক হাজার অযুত লক্ষ নিযুত ও কোটি।,১,১,six
আন্তর্জাতিক গণনা পদ্ধতিতে ডানদিক থেকে কত অঙ্ক পরপর কমা বসানো হয়,তিন অঙ্ক পর পর,এটি আন্তর্জাতিক গণনা পদ্ধতির নিয়ম যা সংখ্যাকে সহজে পড়তে সাহায্য করে।,১,১,six
১ মিলিয়ন সমান কত লক্ষ,১০ লক্ষ,আন্তর্জাতিক ও দেশীয় গণনা রীতির সম্পর্ক অনুযায়ী ১ মিলিয়ন হলো ১০ লক্ষের সমান।,১,১,six
১ বিলিয়ন সমান কত কোটি,১০০ কোটি,আন্তর্জাতিক ও দেশীয় গণনা রীতির সম্পর্ক অনুযায়ী ১ বিলিয়ন হলো ১০০ কোটির সমান।,১,১,six
বিশ হাজার সত্তর সংখ্যাটিকে অঙ্কে লেখ,20070,সংখ্যাটিতে হাজার ও এককের ঘর ছাড়া বাকি ঘরগুলোতে শূন্য বসিয়ে এটি পাওয়া যায়।,১,৫,six
পাঁচ কোটি তিন লক্ষ দুই হাজার সাত সংখ্যাটিকে অঙ্কে লেখ,50302007,সংখ্যাটিতে নিযুত অযুত শতক ও দশকের ঘরে শূন্য বসিয়ে এটি পাওয়া যায়।,১,৮,six
৪৫৭৮৯ সংখ্যাটিকে কথায় লেখ,পঁয়তাল্লিশ হাজার সাত শত উননব্বই,দেশীয় রীতিতে কমা বসিয়ে ৪৫৭৮৯ সংখ্যাটি কথায় প্রকাশ করা হয়।,১,৫,six
৮৯০০৭৫ সংখ্যাটিকে কথায় লেখ,আট লক্ষ নব্বই হাজার পঁচাত্তর,দেশীয় রীতিতে কমা বসিয়ে ৮৯০ ০৭৫ সংখ্যাটি কথায় প্রকাশ করা হয়।,১,৬,six
৭২ সংখ্যাটিতে ৭ এর স্থানীয় মান কত,70,৭ অঙ্কটি দশকের ঘরে থাকায় এর স্থানীয় মান ৭ দশক বা ৭০।,১,২,six
৪২০৩ সংখ্যাটিতে ৪ এর স্থানীয় মান কত,4000,৪ অঙ্কটি হাজারের ঘরে থাকায় এর স্থানীয় মান ৪ হাজার বা ৪০০০।,১,৪,six
নয় অঙ্কের বৃহত্তম সংখ্যা কোনটি,999999999,নয়টি ৯ পরপর লিখলে নয় অঙ্কের বৃহত্তম সংখ্যা পাওয়া যায়।,১,৯,six
নয় অঙ্কের ক্ষুদ্রতম সংখ্যা কোনটি,100000000,সর্ববামে ১ লিখে পরপর আটটি শূন্য বসালে নয় অঙ্কের ক্ষুদ্রতম সংখ্যা পাওয়া যায়।,১,৯,six
৪ ০ ৫ ৩ ৯ ৮ ৭ অঙ্কগুলো দ্বারা গঠিত সাত অঙ্কের ক্ষুদ্রতম সংখ্যা কোনটি,3045789,শূন্য বাদে ক্ষুদ্রতম অঙ্ক ৩ সর্ববামে লিখে বাকি অঙ্কগুলো ছোট থেকে বড় ক্রমে সাজিয়ে এটি পাওয়া যায়।,২,৭,six
সাত অঙ্ক বিশিষ্ট কোন বৃহত্তম সংখ্যার প্রথমে ৭ এবং শেষে ৬ আছে,7999996,সাত অঙ্কের বৃহত্তম সংখ্যার প্রথমে ৭ ও শেষে ৬ বসিয়ে মাঝের পাঁচটি ঘরে ৯ বসালে এটি গঠিত হয়।,১,৭,six
সাত অঙ্ক বিশিষ্ট কোন ক্ষুদ্রতম সংখ্যার প্রথমে ৭ এবং শেষে ৬ আছে,7000006,সাত অঙ্কের ক্ষুদ্রতম সংখ্যার প্রথমে ৭ ও শেষে ৬ বসিয়ে মাঝের পাঁচটি ঘরে ০ বসালে এটি গঠিত হয়।,১,৭,six
মৌলিক সংখ্যা কাকে বলে,যে সংখ্যার ১ এবং ঐ সংখ্যা ছাড়া অন্য কোনো গুণনীয়ক থাকে না তাকে মৌলিক সংখ্যা বলে,যেমন ২ ৩ ৫ ইত্যাদি মৌলিক সংখ্যা।,1,,six
যৌগিক সংখ্যা কাকে বলে,যে সংখ্যার ১ এবং ঐ সংখ্যা ছাড়াও এক বা একাধিক গুণনীয়ক থাকে তাকে যৌগিক সংখ্যা বলে,যেমন ৬ ৯ ১২ ইত্যাদি যৌগিক সংখ্যা।,1,,six
সহমৌলিক সংখ্যা কী,দুই বা ততোধিক সংখ্যার সাধারণ গুণনীয়ক যদি কেবল ১ হয় তবে সংখ্যাগুলো পরস্পর সহমৌলিক,যেমন ৮ এবং ১৫ পরস্পর সহমৌলিক।,1,,six
৩০ থেকে ৭০ এর মধ্যে মৌলিক সংখ্যাগুলো কী কী,৩১ ৩৭ ৪১ ৪৩ ৪৭ ৫৩ ৫৯ ৬১ ৬৭,এই সংখ্যাগুলোর ১ ও নিজ সংখ্যা ছাড়া অন্য কোনো গুণনীয়ক নেই।,2,,six
৫২ ও ৯৭ সংখ্যা দুইটি কি সহমৌলিক,হ্যাঁ সহমৌলিক,কারণ ৫২ ও ৯৭ এর মধ্যে ১ ছাড়া অন্য কোনো সাধারণ গুণনীয়ক নেই।,2,,six
৩ দ্বারা বিভাজ্যতার নিয়ম কী,কোনো সংখ্যার অঙ্কগুলোর যোগফল ৩ দ্বারা বিভাজ্য হলে সংখ্যাটি ৩ দ্বারা বিভাজ্য হবে,এটি ৩ দ্বারা বিভাজ্যতার সূত্র।,1,,six
৪ দ্বারা বিভাজ্যতার নিয়ম কী,কোনো সংখ্যার একক ও দশক স্থানের অঙ্ক দুটি দ্বারা গঠিত সংখ্যা ৪ দ্বারা বিভাজ্য হলে সংখ্যাটি ৪ দ্বারা বিভাজ্য হবে,এটি ৪ দ্বারা বিভাজ্যতার সূত্র।,1,,six
৬ দ্বারা বিভাজ্যতার নিয়ম কী,কোনো সংখ্যা একই সাথে ২ ও ৩ দ্বারা বিভাজ্য হলে তা ৬ দ্বারা বিভাজ্য হবে,এটি ৬ দ্বারা বিভাজ্যতার সূত্র।,1,,six
