Questions,Answer,Math Problem (Bengali),Math Problem (English)
৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে,২৫০ টাকা,৫৫০ টাকাকে ৫:৬ অনুপাতে ভাগ করলে প্রথম অংশ কত হবে,"If 550 Taka is divided in a 5:6 ratio, what is the first part?"
দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত,৭.৫ কিমি,দুই বন্ধুর বাড়ি থেকে স্কুলের দূরত্বের অনুপাত ২:৩ এবং প্রথম বন্ধুর দূরত্ব ৫ কিমি হলে দ্বিতীয় বন্ধুর দূরত্ব কত,"The ratio of the distances of two friends from school is 2:3. If the first friend is 5 km away, what is the second friend’s distance?"
৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়,২/৫,৪০% কে সাধারণ ভগ্নাংশে প্রকাশ করলে কী হয়,What is 40% expressed as a proper fraction?
১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়,1.5,১৫০% কে দশমিক ভগ্নাংশে প্রকাশ করলে কী হয়,What is 150% expressed as a decimal?
২৫ টাকা ১২৫ টাকার শতকরা কত,20%,২৫ টাকা ১২৫ টাকার শতকরা কত,25 Taka is what percent of 125 Taka?
একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত,২০ টাকা,একটি কলম ২০% লাভে ২৪ টাকায় বিক্রয় করলে ক্রয়মূল্য কত,"If a pen is sold for 24 Taka with 20% profit, what was the cost price?"
একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত,২০০ টাকা,একটি বই ১৫% কমিশনে ১৭০ টাকায় বিক্রয় করলে প্রকৃত মূল্য কত,"If a book is sold at 15% commission for 170 Taka, what is its actual price?"
৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে,৭ দিন,৬ জন লোক একটি কাজ ২৮ দিনে করলে ২৪ জন লোক কত দিনে করবে,"If 6 people complete a task in 28 days, how many days will 24 people take?"
একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে,৬ দিন,একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে,"If A can do a job in 10 days and B in 15 days, how many days will they take together?"
১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত,১২ টাকা,১০টি বলপেনের দাম ৬০ টাকা হলে ২টি বলপেনের দাম কত,"If 10 pens cost 60 Taka, what is the cost of 2 pens?"
১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত,৬৪ টাকা,১ ডজন ডিমের দাম ৪৮ টাকা হলে ১৬টি ডিমের দাম কত,"If 1 dozen eggs cost 48 Taka, what is the cost of 16 eggs?"
কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়,সময় কমে যায়,কাজের পরিমাণ অপরিবর্তিত থাকলে লোক সংখ্যা বাড়ালে সময় কী হয়,"If the amount of work remains the same, what happens to time if the number of workers increases?"
৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত,৬০০ টাকা,৭ কেজি চালের দাম ২৮০ টাকা হলে ১৫ কেজি চালের দাম কত,"If 7 kg of rice costs 280 Taka, what is the cost of 15 kg?"
একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে,৩০ দিন,একটি ছাত্রাবাসে ৫০ জনের ১৫ দিনের খাদ্য মজুদ আছে। ঐ খাদ্যে ২৫ জনের কত দিন চলবে,A hostel has food for 50 people for 15 days. How many days will it last for 25 people?
৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে,১২০০০ টাকা,৯০০০ টাকা বিনিয়োগে প্রতিদিন ৪৫০ টাকা লাভ হলে ৬০০ টাকা লাভ করতে কত বিনিয়োগ করতে হবে,"If an investment of 9000 Taka yields 450 Taka profit per day, how much should be invested to earn 600 Taka per day?"
১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে,২০০ কেজি,১২০ কেজি চালে ১০ জন লোকের ২৭ দিন চলে। ৪৫ দিন চলতে কত কেজি চাল প্রয়োজন হবে,120 kg of rice lasts 10 people for 27 days. How much rice is needed to last 45 days?
২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে,২২ ১/২ দিন,২ কুইন্টাল চালে ১৫ জন ছাত্রের ৩০ দিন চলে। ঐ চালে ২০ জন ছাত্রের কত দিন চলবে,2 quintals of rice last 15 students for 30 days. How many days will it last for 20 students?
একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে,১৪০ জন,একটি বাঁধ তৈরি করতে ৩৬০ জন শ্রমিকের ২৫ দিন লাগে। ১৮ দিনে কাজটি শেষ করতে কতজন অতিরিক্ত শ্রমিক লাগবে,"To build a dam, 360 workers are needed for 25 days. How many extra workers are needed to finish it in 18 days?"
